,Time_UTC,Lat,Lon,Distance,Speed,Acceleration,Hacc,HDOP,SVNum
2023-06-13 16:20:26.500,9,35.560552,139.546904,0.0,0.151,-0.016,1.3,1.0,9.0
2023-06-13 16:20:26.600,9,35.560552,139.546904,0.0,0.167,-0.013,1.3,1.0,9.0
2023-06-13 16:20:26.700,9,35.560552,139.546904,0.0,0.178,-0.01,1.3,1.0,9.0
2023-06-13 16:20:26.800,9,35.560551,139.546904,0.0,0.178,-0.008,1.3,1.0,9.0
2023-06-13 16:20:26.900,9,35.560551,139.546904,0.0,0.167,-0.004,1.3,1.0,9.0
2023-06-13 16:20:27.000,9,35.56055,139.546904,0.0,0.148,0.001,1.3,1.0,9.0
2023-06-13 16:20:27.100,9,35.56055,139.546903,0.0,0.127,0.009,1.3,1.0,9.0
2023-06-13 16:20:27.200,9,35.56055,139.546903,0.0,0.113,0.02,1.3,1.0,9.0
2023-06-13 16:20:27.300,9,35.56055,139.546903,0.0,0.11,0.035,1.3,1.0,9.0
2023-06-13 16:20:27.400,9,35.56055,139.546903,0.0,0.124,0.051,1.3,1.0,9.0
2023-06-13 16:20:27.500,9,35.56055,139.546903,0.0,0.154,0.066,1.3,1.0,9.0
